DATE,LA21_NAME,LA21_CD,NO_QUALIFICATIONS,APPRENTICESHIP,LEVEL_4_QUALIFICATIONS_OR_ABOVE,DISTRICT TOTAL,NO_QUALIFICATIONS_PCT,NO_QUALIFICATIONS_INDEX,APPRENTICESHIP_PCT,APPRENTICESHIP_INDEX,LEVEL_4_QUALIFICATIONS_OR_ABOVE_PCT,LEVEL_4_QUALIFICATIONS_OR_ABOVE_INDEX
2023,Central Bedfordshire,E06000056,973,161,4717,8248,0.12,0.6,0.02,1,0.57,1.34
2023,Bedford,E06000055,3776,370,6469,17429,0.22,1.09,0.02,1.09,0.37,0.87
2023,Thurrock,E06000034,1404,157,4224,8909,0.16,0.8,0.02,0.91,0.47,1.11
2023,Southend-on-Sea,E06000033,1283,147,3514,7394,0.17,0.88,0.02,1.02,0.48,1.11
2023,Luton,E06000032,13968,1096,19945,58596,0.24,1.2,0.02,0.96,0.34,0.8
2023,Peterborough,E06000031,5579,466,7233,21872,0.26,1.29,0.02,1.1,0.33,0.77
2023,Wolverhampton,E08000031,10766,1035,14233,43385,0.25,1.25,0.02,1.23,0.33,0.77
2023,Walsall,E08000030,10147,745,11985,38907,0.26,1.32,0.02,0.99,0.31,0.72
2023,Solihull,E08000029,1955,234,10278,17651,0.11,0.56,0.01,0.68,0.58,1.36
2023,Sandwell,E08000028,18809,1508,17607,64946,0.29,1.46,0.02,1.19,0.27,0.63
2023,Dudley,E08000027,4874,467,6309,19620,0.25,1.25,0.02,1.22,0.32,0.75
2023,Coventry,E08000026,8966,1003,20349,49810,0.18,0.91,0.02,1.04,0.41,0.96
2023,Birmingham,E08000025,68962,4646,77848,257770,0.27,1.35,0.02,0.93,0.3,0.71
2023,Wyre Forest,E07000239,325,36,515,1435,0.23,1.14,0.03,1.29,0.36,0.84
2023,Wychavon,E07000238,205,26,615,1253,0.16,0.83,0.02,1.07,0.49,1.15
2023,Worcester,E07000237,923,92,1637,4236,0.22,1.1,0.02,1.12,0.39,0.9
2023,Redditch,E07000236,849,61,1270,3628,0.23,1.18,0.02,0.86,0.35,0.82
2023,Malvern Hills,E07000235,174,22,373,840,0.21,1.05,0.03,1.35,0.44,1.04
2023,Bromsgrove,E07000234,272,31,1390,2431,0.11,0.56,0.01,0.66,0.57,1.34
2023,Warwick,E07000222,1479,167,6272,11788,0.13,0.63,0.01,0.73,0.53,1.24
2023,Stratford-on-Avon,E07000221,257,34,1254,2078,0.12,0.62,0.02,0.84,0.6,1.41
2023,Rugby,E07000220,795,190,3626,6644,0.12,0.6,0.03,1.47,0.55,1.28
2023,Nuneaton and Bedworth,E07000219,1890,179,3155,8523,0.22,1.12,0.02,1.08,0.37,0.87
2023,North Warwickshire,E07000218,112,20,326,689,0.16,0.82,0.03,1.49,0.47,1.11
2023,Tamworth,E07000199,162,16,397,897,0.18,0.91,0.02,0.92,0.44,1.03
2023,Staffordshire Moorlands,E07000198,102,16,251,531,0.19,0.97,0.03,1.55,0.47,1.11
2023,Stafford,E07000197,343,141,1769,3216,0.11,0.54,0.04,2.26,0.55,1.29
2023,South Staffordshire,E07000196,386,66,1211,2585,0.15,0.75,0.03,1.31,0.47,1.1
2023,Newcastle-under-Lyme,E07000195,358,77,1790,3710,0.1,0.49,0.02,1.07,0.48,1.13
2023,Lichfield,E07000194,268,45,1101,2044,0.13,0.66,0.02,1.13,0.54,1.26
